sector,week_52_low,pc,symbol,bse_price,pb,nse_price,week_52_high,pe,book_value,industry_pe
CIGARETTES,32.20,-,GOLDENTOBC,40.40,,40.05,56.70,-,-123.89,30.45
DIAMOND CUTTING & JEWELLERY & PRECIOUS METALS,37.50,4.96,GOLDIAM,70.00,,69.65,93.70,5.37,115.67,25.60
BANKS - PRIVATE SECTOR,2260.55,-,GOLDBEES,2845.00,,2849.90,2918.80,-,,-
CHEMICALS,2.00,-,GOKULAGRO,14.95,,14.00,20.80,-,,16.91
COMPUTERS - SOFTWARE MEDIUM & SMALL,3.80,4.11,GOLDTECH,7.20,,7.15,10.35,-,35.97,18.34
BANKS - PUBLIC SECTOR,2263.00,-,GOLDSHARE,2840.00,,2841.90,2898.50,-,,-
MISCELLANEOUS,62.15,-,GLOBALVECT,68.10,,68.70,148.80,-,,11.88
TELECOMMUNICATIONS - SERVICE,13.65,7.04,GOLDINFRA,21.25,,21.25,24.80,-,23.89,10.11
SHIPPING,136.35,-,GPPL,170.45,,170.55,212.50,-,,35.09
STEEL - TUBES & PIPES,75.00,-,GOODLUCK,103.05,,101.75,134.30,-,,11.97
PHARMACEUTICALS,101.40,12.67,GRANULES,113.50,,113.25,164.40,18.92,29.43,29.36
FINANCE - INVESTMENTS,232.70,-,GOLDIWIN,298.00,,297.20,329.00,-,,-
STEEL - SPONGE IRON,48.00,11.02,GPIL,53.55,,54.20,80.70,-,251.87,21.74
DIVERSIFIED,3233.00,9.58,GRASIM,4695.75,,4707.60,5361.05,16.45,2760.67,16.38
MISCELLANEOUS,15.10,15.25,GRAVITA,30.80,,30.80,37.95,29.62,17.41,16.30
ELECTRODES & GRAPHITE,64.55,-,GRAPHITE,72.90,,72.35,88.50,-,89.63,18.10
CONSTRUCTION & CONTRACTING - CIVIL,201.50,12.56,GPTINFRA,288.00,,284.45,,29.30,114.63,36.77
ENGINES,112.60,-,GREAVESCOT,128.55,,127.50,162.60,-,35.04,29.36
MISCELLANEOUS,362.00,-,GREENLAM,725.00,,737.30,802.95,-,,52.42
MISCELLANEOUS,151.05,-,GREENPLY,263.00,,264.85,297.50,-,49.38,31.70
COMPUTERS - SOFTWARE MEDIUM & SMALL,1.20,2.26,GREENFIRE,1.49,,1.40,3.15,5.14,0.04,13.73
POWER - GENERATION & DISTRIBUTION,,-,GREENPOWER,9.15,,9.15,18.50,-,10.04,12.97
ABRASIVES,286.30,24.15,GRINDWELL,327.00,,325.30,414.75,33.54,60.85,38.21
FINANCE - HOUSING,226.10,-,GRUH,324.15,,324.35,350.50,-,,28.24
FERTILISERS,57.50,-,GSFC,74.30,,74.25,86.50,-,,13.84
FOOD PROCESSING,5405.00,-,GSKCONS,6000.00,,6052.40,6800.00,-,,59.26
TELECOMMUNICATIONS - EQUIPMENT,10.60,-,GTL,17.31,,17.25,,-,-233.12,10.11
RUBBER,855.00,-,GRPLTD,1400.00,,1375.00,1516.00,-,892.92,20.06
CEMENT - MAJOR,20.65,-,GSCLCEMENT,28.25,,28.10,36.20,-,22.69,54.64
PLANTATIONS - TEA & COFFEE,10.00,-,GROBTEA,,,275.00,609.40,-,,-
TEXTILES - SPINNING - COTTON BLENDED,8.10,-,GTNIND,12.75,,12.75,24.75,-,,13.00
TELECOMMUNICATIONS - EQUIPMENT,1.65,-,GTLINFRA,4.73,,4.70,,-,8.96,10.11
OIL DRILLING AND EXPLORATION,113.80,-,GSPL,149.05,,151.20,159.90,-,70.92,25.06
COMPUTERS - SOFTWARE MEDIUM & SMALL,20.20,8.78,GSS,26.00,,26.65,44.30,11.93,101.65,18.34
PHARMACEUTICALS,32.10,-,GUFICBIO,34.20,,35.05,64.90,-,,29.36
CHEMICALS,143.30,-,GUJALKALI,293.20,,290.30,340.00,-,,16.50
MISCELLANEOUS,2.45,-,GUJNRECOKE,3.12,,3.10,4.55,-,6.37,12.32
MISCELLANEOUS,1.70,-,GUJNREDVR,2.07,,2.10,3.45,-,6.37,12.32
CHEMICALS,400.00,8.28,GUJFLUORO,524.05,,521.50,710.00,15.66,404.27,32.86
OIL DRILLING AND EXPLORATION,453.20,-,GUJGASLTD,587.80,,584.80,682.80,24.02,,32.47
TEXTILES - GENERAL,7.90,-,GTNTEX,11.52,,12.50,17.65,-,,22.25
POWER - GENERATION & DISTRIBUTION,4.10,-,GVKPIL,6.08,,6.05,9.80,-,8.59,12.97
MISCELLANEOUS,4.55,-,HANUNG,5.20,,4.95,12.55,-,-336.52,16.38
CHEMICALS,273.05,-,GULPOLY,359.15,,355.60,487.00,-,,37.56
LUBRICANTS,42.00,-,GULFPETRO,77.90,,77.70,,-,,12.56
ENGINEERING - HEAVY,110.40,-,GUJAPOLLO,121.50,,119.40,149.00,-,271.23,25.82
LUBRICANTS,447.40,-,GULFOILLUB,713.00,,717.50,,-,,37.72
AUTO ANCILLARIES,195.00,-,HARITASEAT,537.00,,530.65,675.30,-,124.18,25.03
PLANTATIONS - TEA & COFFEE,39.60,-,HARRMALAYA,71.25,,70.00,93.60,-,54.95,21.73
FINANCE - LEASING & HIRE PURCHASE,6.00,-,HBSTOCK,11.00,,10.95,13.30,-,56.73,29.92
ELECTRIC EQUIPMENT,28.50,-,HBLPOWER,30.35,,30.30,52.20,-,22.98,51.12
MEDIA & ENTERTAINMENT,24.50,-,HATHWAY,24.75,,24.65,49.25,-,12.61,39.93
FOOD PROCESSING,260.68,-,HATSUN,336.95,,333.90,404.40,-,,59.26
HOSPITALS & MEDICAL SERVICES,167.00,-,HCG,222.00,,220.75,227.95,-,,58.56
CONSTRUCTION & CONTRACTING - CIVIL,16.55,-,HCC,33.40,,33.45,41.90,-,9.02,26.62
FINANCE - HOUSING,1011.45,20.34,HDFC,1400.10,,1401.40,1464.00,20.56,320.92,28.24
